words,hints
aunt,The sister of one's father or mother or the wife of one's uncle.
brother,A man or boy in relation to other sons and daughters of his parents.
cousin,A child of one's uncle or aunt.
daughter,A girl or woman in relation to either or both of her parents.
father,A man in relation to his child or children.
granddaughter,A daughter of one's son or daughter.
grandmother,The mother of one's father or mother.
grandson,The son of one's son or daughter.
mother,A woman in relation to her child or children.
nephew,"A son of one's brother or sister, or of one's brother-in-law or sister-in-law."
niece,"A daughter of one's brother or sister, or of one's brother-in-law or sister-in-law."
sister,A woman or girl in relation to other daughters and sons of her parents.
son,A boy or man in relation to either or both of his parents.
stepdaughter,A daughter of one's husband or wife by a previous marriage.
stepmother,A woman who is the wife or partner of one's father after the divorce or separation of one's parents or the death of one's mother.
stepson,A son of one's husband or wife by a previous marriage.
uncle,The brother of one's father or mother or the husband of one's aunt.
